date,channel,geo,ad_format,impressions,clicks,revenue,ecpm,fill_rate
2026-01-02,Unity,ID,Native,79535,1699,20.31,0.4289,0.5954
2026-01-02,Unity,DE,Banner,72480,1549,100.54,1.6032,0.8652
2026-01-02,Unity,DE,Interstitial,14085,321,69.98,5.7996,0.8567
2026-01-02,Unity,DE,Rewarded,21327,410,149.69,8.3505,0.8405
2026-01-02,Unity,DE,Native,31157,653,85.24,3.4872,0.7845
2026-01-02,Unity,JP,Banner,92857,1496,133.6,1.6967,0.848
2026-01-02,Unity,JP,Interstitial,16715,325,84.43,6.1079,0.827
2026-01-02,Unity,JP,Rewarded,29432,655,203.71,8.7269,0.7931
2026-01-02,Unity,JP,Native,42392,1000,141.37,4.3026,0.7751
2026-01-02,AppLovin,US,Banner,111765,2019,284.35,2.7676,0.9193
2026-01-02,AppLovin,US,Interstitial,24693,460,200.91,9.3161,0.8734
2026-01-02,AppLovin,US,Rewarded,39000,664,373.77,12.0874,0.7929
2026-01-02,AppLovin,US,Native,55525,1173,231.68,5.5358,0.7538
2026-01-02,AppLovin,IN,Banner,180912,3580,34.12,0.2326,0.8109
2026-01-02,AppLovin,IN,Interstitial,42010,685,22.56,0.7476,0.7182
2026-01-02,AppLovin,IN,Rewarded,54040,902,42.1,1.1469,0.6793
2026-01-02,AppLovin,IN,Native,88619,1676,31.69,0.5556,0.6435
2026-01-02,AppLovin,BR,Banner,75076,1681,22.75,0.3737,0.8108
2026-01-02,AppLovin,BR,Interstitial,15575,363,14.35,1.0996,0.8377
2026-01-02,AppLovin,BR,Rewarded,19537,429,26.49,1.7197,0.7884
2026-01-02,AppLovin,BR,Native,33950,674,19.16,0.7912,0.7131
2026-01-02,AppLovin,ID,Banner,103547,2275,13.02,0.1753,0.7173
2026-01-02,AppLovin,ID,Interstitial,17220,398,6.86,0.5703,0.6986
2026-01-02,AppLovin,ID,Rewarded,30105,589,16.98,0.9058,0.6225
2026-01-02,AppLovin,ID,Native,50489,960,12.03,0.3984,0.5979
2026-01-02,AppLovin,DE,Banner,42801,796,59.53,1.5913,0.874
2026-01-02,AppLovin,DE,Interstitial,8859,189,45.33,5.9296,0.863
2026-01-02,AppLovin,DE,Rewarded,16301,330,104.4,8.2474,0.7765
2026-01-02,AppLovin,DE,Native,25651,436,78.72,4.039,0.7598
2026-01-02,AppLovin,JP,Banner,58445,1201,91.36,1.7507,0.8928
2026-01-02,AppLovin,JP,Interstitial,11960,214,66.53,6.5838,0.8448
2026-01-02,AppLovin,JP,Rewarded,16510,285,106.73,8.3751,0.7719
2026-01-02,AppLovin,JP,Native,28311,656,82.34,4.0195,0.7236
2026-01-02,ironSource,US,Banner,87407,2085,204.22,2.5625,0.9118
2026-01-02,ironSource,US,Interstitial,17672,405,134.64,8.3264,0.915
2026-01-02,ironSource,US,Rewarded,32853,701,319.17,12.1327,0.8007
2026-01-02,ironSource,US,Native,56440,1029,267.49,6.0175,0.7876
2026-01-02,ironSource,IN,Banner,172935,3355,29.81,0.225,0.7662
2026-01-02,ironSource,IN,Interstitial,32073,669,17.34,0.7588,0.7125
2026-01-02,ironSource,IN,Rewarded,44956,892,37.16,1.2195,0.6777
2026-01-02,ironSource,IN,Native,80782,1379,26.86,0.5098,0.6522
2026-01-02,ironSource,BR,Banner,52140,1172,17.21,0.3953,0.8349
2026-01-02,ironSource,BR,Interstitial,11116,230,11.45,1.2436,0.8285
2026-01-02,ironSource,BR,Rewarded,17846,418,23.78,1.7683,0.7534
2026-01-02,ironSource,BR,Native,32975,720,21.05,0.9181,0.6954
2026-01-02,ironSource,ID,Banner,90520,1985,10.51,0.1685,0.6888
2026-01-02,ironSource,ID,Interstitial,16357,365,6.91,0.641,0.6594
2026-01-02,ironSource,ID,Rewarded,21851,492,11.49,0.8395,0.6262
2026-01-02,ironSource,ID,Native,41982,966,10.69,0.4219,0.6034
2026-01-02,ironSource,DE,Banner,38709,736,60.75,1.7545,0.8945
2026-01-02,ironSource,DE,Interstitial,7910,158,36.6,5.2815,0.8762
2026-01-02,ironSource,DE,Rewarded,11035,224,78.71,8.9093,0.8006
2026-01-02,ironSource,DE,Native,22438,527,65.13,3.9457,0.7357
2026-01-02,ironSource,JP,Banner,51915,1160,76.65,1.7406,0.8483
2026-01-02,ironSource,JP,Interstitial,10360,231,54.37,6.0402,0.8689
2026-01-02,ironSource,JP,Rewarded,13432,294,89.82,8.6611,0.7721
2026-01-02,ironSource,JP,Native,21501,494,70.29,4.2587,0.7676
2026-01-03,AdMob,US,Banner,273879,6236,657.18,2.7138,0.8842
2026-01-03,AdMob,US,Interstitial,51074,878,382.68,8.3254,0.9
2026-01-03,AdMob,US,Rewarded,79244,1674,892.99,13.3167,0.8462
2026-01-03,AdMob,US,Native,152114,2854,696.1,6.0008,0.7626
2026-01-03,AdMob,IN,Banner,416060,7991,84.95,0.2596,0.7865
2026-01-03,AdMob,IN,Interstitial,90951,1881,56.7,0.8716,0.7153
2026-01-03,AdMob,IN,Rewarded,138243,3176,113.31,1.2267,0.6682
2026-01-03,AdMob,IN,Native,259816,6074,99.64,0.5673,0.676
2026-01-03,AdMob,BR,Banner,183224,3820,52.57,0.335,0.8565
2026-01-03,AdMob,BR,Interstitial,33714,789,35.7,1.2567,0.8426
2026-01-03,AdMob,BR,Rewarded,50986,1157,67.92,1.6608,0.8021
2026-01-03,AdMob,BR,Native,76538,1542,52.22,0.9107,0.7492
2026-01-03,AdMob,ID,Banner,236298,4414,28.67,0.1764,0.6879
2026-01-03,AdMob,ID,Interstitial,50179,962,18.24,0.5406,0.6726
2026-01-03,AdMob,ID,Rewarded,69774,1310,43.43,0.9756,0.638
2026-01-03,AdMob,ID,Native,123193,2416,30.5,0.416,0.5951
2026-01-03,AdMob,DE,Banner,102609,1985,142.49,1.5432,0.8999
2026-01-03,AdMob,DE,Interstitial,25862,544,119.22,5.3486,0.8619
2026-01-03,AdMob,DE,Rewarded,29460,697,196.76,8.5198,0.7839
2026-01-03,AdMob,DE,Native,51439,1233,142.74,3.7843,0.7333
2026-01-03,AdMob,JP,Banner,143844,3164,222.14,1.8343,0.8419
2026-01-03,AdMob,JP,Interstitial,26247,459,137.95,6.4777,0.8113
2026-01-03,AdMob,JP,Rewarded,37129,613,264.88,8.9497,0.7971
2026-01-03,AdMob,JP,Native,77816,1519,242.77,4.1608,0.7498
2026-01-03,Unity,US,Banner,195258,3408,447.56,2.5804,0.8883
2026-01-03,Unity,US,Interstitial,44618,810,356.47,9.2584,0.8629
2026-01-03,Unity,US,Rewarded,62983,1086,621.79,12.5173,0.7887
2026-01-03,Unity,US,Native,107144,1904,490.05,6.1391,0.745
2026-01-03,Unity,IN,Banner,296021,4982,54.57,0.2483,0.7425
2026-01-03,Unity,IN,Interstitial,70194,1256,39.53,0.7486,0.7523
2026-01-03,Unity,IN,Rewarded,84991,1941,69.43,1.1384,0.7176
2026-01-03,Unity,IN,Native,176949,3121,65.43,0.5485,0.6741
2026-01-03,Unity,BR,Banner,113256,1889,35.58,0.3885,0.8086
2026-01-03,Unity,BR,Interstitial,22033,455,18.71,1.0864,0.7818
2026-01-03,Unity,BR,Rewarded,35371,662,54.2,1.9414,0.7893
2026-01-03,Unity,BR,Native,56017,1016,33.48,0.8198,0.729
2026-01-03,Unity,ID,Banner,166996,3254,21.36,0.1767,0.7237
2026-01-03,Unity,ID,Interstitial,30214,517,13.87,0.6538,0.702
2026-01-03,Unity,ID,Rewarded,53639,1201,32.43,0.8977,0.6736
2026-01-03,Unity,ID,Native,78693,1600,17.87,0.3799,0.5978
2026-01-03,Unity,DE,Banner,83723,1898,114.04,1.5701,0.8675
2026-01-03,Unity,DE,Interstitial,18439,335,84.29,5.5283,0.8269
2026-01-03,Unity,DE,Rewarded,20660,425,143.79,8.9336,0.779
2026-01-03,Unity,DE,Native,37521,849,113.4,3.8917,0.7766
2026-01-03,Unity,JP,Banner,91762,2128,126.37,1.624,0.848
2026-01-03,Unity,JP,Interstitial,22382,477,115.61,6.1169,0.8444
2026-01-03,Unity,JP,Rewarded,27247,519,208.61,9.7459,0.7856
2026-01-03,Unity,JP,Native,50598,1108,139.73,3.8195,0.723
2026-01-03,AppLovin,US,Banner,125758,2403,293.45,2.6026,0.8966
2026-01-03,AppLovin,US,Interstitial,26927,494,198.52,8.2546,0.8931
2026-01-03,AppLovin,US,Rewarded,43984,1033,469.68,12.6889,0.8416
2026-01-03,AppLovin,US,Native,76889,1391,321.54,5.6108,0.7453
2026-01-03,AppLovin,IN,Banner,236560,4914,40.3,0.2185,0.7797
2026-01-03,AppLovin,IN,Interstitial,43712,725,26.24,0.8433,0.7118
2026-01-03,AppLovin,IN,Rewarded,73723,1436,63.22,1.1989,0.7152
2026-01-03,AppLovin,IN,Native,106250,2290,43.22,0.5957,0.6829
2026-01-03,AppLovin,BR,Banner,80354,1344,24.68,0.3665,0.8382
2026-01-03,AppLovin,BR,Interstitial,19409,379,18.23,1.1128,0.8439
2026-01-03,AppLovin,BR,Rewarded,23430,512,33.75,1.8151,0.7935
2026-01-03,AppLovin,BR,Native,47091,1073,30.05,0.8667,0.7364
2026-01-03,AppLovin,ID,Banner,106363,2542,13.37,0.1796,0.6999
2026-01-03,AppLovin,ID,Interstitial,26064,609,9.91,0.5447,0.6981
2026-01-03,AppLovin,ID,Rewarded,31193,507,19.21,0.9122,0.6749
2026-01-03,AppLovin,ID,Native,60905,1447,15.66,0.403,0.638
2026-01-03,AppLovin,DE,Banner,65163,1482,99.75,1.6415,0.9326
2026-01-03,AppLovin,DE,Interstitial,10875,225,51.98,5.8618,0.8154
2026-01-03,AppLovin,DE,Rewarded,15852,341,93.75,7.6239,0.7757
2026-01-03,AppLovin,DE,Native,27368,506,80.57,4.0231,0.7317
2026-01-03,AppLovin,JP,Banner,72726,1527,119.69,1.9047,0.8641
2026-01-03,AppLovin,JP,Interstitial,16039,259,80.12,6.139,0.8137
2026-01-03,AppLovin,JP,Rewarded,23956,484,160.19,8.1383,0.8217
2026-01-03,AppLovin,JP,Native,40671,764,142.15,4.451,0.7852
2026-01-03,ironSource,US,Banner,124217,2611,285.12,2.5,0.9181
2026-01-03,ironSource,US,Interstitial,25578,494,214.01,9.3229,0.8974
2026-01-03,ironSource,US,Rewarded,33686,568,362.79,13.3558,0.8064
2026-01-03,ironSource,US,Native,54992,982,239.99,5.6968,0.7661
2026-01-03,ironSource,IN,Banner,158723,3082,28.16,0.2169,0.818
2026-01-03,ironSource,IN,Interstitial,35522,838,21.2,0.8287,0.7201
2026-01-03,ironSource,IN,Rewarded,59941,1380,45.97,1.1015,0.6962
2026-01-03,ironSource,IN,Native,104274,1807,38.9,0.5563,0.6705
2026-01-03,ironSource,BR,Banner,79167,1678,23.94,0.3407,0.8876
2026-01-03,ironSource,BR,Interstitial,14246,248,13.47,1.203,0.7858
2026-01-03,ironSource,BR,Rewarded,18964,356,25.16,1.6871,0.7864
2026-01-03,ironSource,BR,Native,29923,700,20.63,0.9188,0.7502
2026-01-03,ironSource,ID,Banner,105659,2331,12.67,0.1683,0.7125
2026-01-03,ironSource,ID,Interstitial,19482,346,7.68,0.5585,0.7056
2026-01-03,ironSource,ID,Rewarded,25313,522,15.01,0.9067,0.654
2026-01-03,ironSource,ID,Native,40362,687,10.9,0.4517,0.5977
2026-01-03,ironSource,DE,Banner,51364,1154,86.24,1.8004,0.9326
2026-01-03,ironSource,DE,Interstitial,9628,185,43.85,5.5559,0.8197
2026-01-03,ironSource,DE,Rewarded,13272,265,86.31,7.8536,0.8281
2026-01-03,ironSource,DE,Native,20109,333,56.94,3.6345,0.779
2026-01-03,ironSource,JP,Banner,63558,1318,100.38,1.7983,0.8783
2026-01-03,ironSource,JP,Interstitial,12620,259,62.47,5.8174,0.8509
2026-01-03,ironSource,JP,Rewarded,16044,341,126.68,9.6815,0.8156
2026-01-03,ironSource,JP,Native,31773,721,109.38,4.5085,0.7636
2026-01-04,AdMob,US,Banner,304531,6706,748.95,2.6419,0.9309
2026-01-04,AdMob,US,Interstitial,51610,837,427.96,9.1475,0.9065
2026-01-04,AdMob,US,Rewarded,94680,2078,910.09,11.8036,0.8143
2026-01-04,AdMob,US,Native,129120,2590,660.21,6.3284,0.808
2026-01-04,AdMob,IN,Banner,391881,9346,71.06,0.2298,0.7891
2026-01-04,AdMob,IN,Interstitial,95638,1943,54.69,0.7616,0.7509
2026-01-04,AdMob,IN,Rewarded,149585,3041,119.14,1.1057,0.7203
2026-01-04,AdMob,IN,Native,261946,6144,95.43,0.5423,0.6718
2026-01-04,AdMob,BR,Banner,151929,2513,51.51,0.3915,0.866
2026-01-04,AdMob,BR,Interstitial,32439,670,31.33,1.25,0.7726
2026-01-04,AdMob,BR,Rewarded,49357,1133,66.45,1.8435,0.7302
2026-01-04,AdMob,BR,Native,98501,1678,67.02,0.9188,0.7405
2026-01-04,AdMob,ID,Banner,247820,4606,27.67,0.1629,0.6856
2026-01-04,AdMob,ID,Interstitial,45843,897,20.19,0.6324,0.6965
2026-01-04,AdMob,ID,Rewarded,64314,1261,40.93,0.9895,0.6432
2026-01-04,AdMob,ID,Native,103395,1836,28.69,0.4448,0.6239
2026-01-04,AdMob,DE,Banner,100592,1829,157.16,1.7096,0.9139
2026-01-04,AdMob,DE,Interstitial,26110,614,113.44,5.1162,0.8492
2026-01-04,AdMob,DE,Rewarded,33669,612,228.86,8.4786,0.8017
2026-01-04,AdMob,DE,Native,65848,1174,197.93,3.7802,0.7951
2026-01-04,AdMob,JP,Banner,131377,2489,191.45,1.6312,0.8933
2026-01-04,AdMob,JP,Interstitial,31892,557,166.56,5.9679,0.8751
2026-01-04,AdMob,JP,Rewarded,47894,1089,370.03,9.4979,0.8135
2026-01-04,AdMob,JP,Native,77503,1260,240.42,4.306,0.7204
2026-01-04,Unity,US,Banner,226658,4499,560.28,2.6095,0.9473
2026-01-04,Unity,US,Interstitial,35628,692,249.38,7.8628,0.8902
2026-01-04,Unity,US,Rewarded,54950,1135,553.89,12.7286,0.7919
2026-01-04,Unity,US,Native,93651,1839,452.93,6.3041,0.7672
2026-01-04,Unity,IN,Banner,274822,5452,46.54,0.2195,0.7716
2026-01-04,Unity,IN,Interstitial,66332,1517,38.42,0.7667,0.7554
2026-01-04,Unity,IN,Rewarded,104710,1763,79.93,1.0895,0.7006
2026-01-04,Unity,IN,Native,148540,2969,58.35,0.6145,0.6393
2026-01-04,Unity,BR,Banner,125030,2010,40.05,0.3746,0.8551
2026-01-04,Unity,BR,Interstitial,22892,430,21.34,1.2043,0.7742
2026-01-04,Unity,BR,Rewarded,31152,531,38.88,1.6483,0.7571
2026-01-04,Unity,BR,Native,61598,1084,39.97,0.8718,0.7442
2026-01-04,Unity,ID,Banner,144939,3138,17.53,0.1658,0.7298
2026-01-04,Unity,ID,Interstitial,27675,562,11.8,0.6523,0.6534
2026-01-04,Unity,ID,Rewarded,51329,1150,32.84,0.9668,0.6619
2026-01-04,Unity,ID,Native,76622,1774,20.06,0.4464,0.5863
2026-01-04,Unity,DE,Banner,81649,1726,128.33,1.7547,0.8957
2026-01-04,Unity,DE,Interstitial,16227,267,76.5,5.7547,0.8192
2026-01-04,Unity,DE,Rewarded,22317,396,144.15,7.6882,0.8401
2026-01-04,Unity,DE,Native,45996,1026,126.88,3.7244,0.7407
2026-01-04,Unity,JP,Banner,105415,2293,167.84,1.7994,0.8849
2026-01-04,Unity,JP,Interstitial,18485,391,106.76,6.5956,0.8757
2026-01-04,Unity,JP,Rewarded,27466,446,194.16,9.3244,0.7581
2026-01-04,Unity,JP,Native,46655,1017,150.83,4.1686,0.7755
2026-01-04,AppLovin,US,Banner,154216,2925,350.91,2.512,0.9058
2026-01-04,AppLovin,US,Interstitial,32955,679,230.46,7.7182,0.9061
2026-01-04,AppLovin,US,Rewarded,42330,973,466.39,13.3244,0.8269
2026-01-04,AppLovin,US,Native,80515,1669,360.53,5.8568,0.7645
2026-01-04,AppLovin,IN,Banner,258453,5441,46.14,0.2261,0.7896
2026-01-04,AppLovin,IN,Interstitial,49216,1145,27.61,0.7411,0.757
2026-01-04,AppLovin,IN,Rewarded,62369,1088,52.13,1.137,0.7351
2026-01-04,AppLovin,IN,Native,127226,2921,45.97,0.5591,0.6462
2026-01-04,AppLovin,BR,Banner,84834,1759,25.67,0.3611,0.838
2026-01-04,AppLovin,BR,Interstitial,15508,280,15.39,1.1739,0.8454
2026-01-04,AppLovin,BR,Rewarded,27091,461,36.98,1.7371,0.7859
2026-01-04,AppLovin,BR,Native,49203,816,28.8,0.8322,0.7034
2026-01-04,AppLovin,ID,Banner,103606,2344,13.26,0.1807,0.7083
2026-01-04,AppLovin,ID,Interstitial,22523,487,8.88,0.5698,0.692
2026-01-04,AppLovin,ID,Rewarded,31053,679,16.12,0.8402,0.618
2026-01-04,AppLovin,ID,Native,60325,1354,15.96,0.4179,0.6331
2026-01-04,AppLovin,DE,Banner,58972,996,91.26,1.7715,0.8735
2026-01-04,AppLovin,DE,Interstitial,10705,251,46.02,5.0128,0.8577
2026-01-04,AppLovin,DE,Rewarded,14866,348,91.39,7.6265,0.8061
2026-01-04,AppLovin,DE,Native,27164,466,76.45,3.8556,0.7299
2026-01-04,AppLovin,JP,Banner,82367,1945,135.55,1.9674,0.8364
